,0,1
track,138.0,0.0001725
closet,2.0,2.5e-06
waiting,24.0,3e-05
right,195.0,0.00024375
suggest,20.0,2.5e-05
biggest,43.0,5.375e-05
idols,5.0,6.25e-06
antonio,49.0,6.125e-05
ask,23.0,2.875e-05
him,999.0,0.00124875
put,154.0,0.0001925
vocals,34.0,4.25e-05
got,113.0,0.00014125
know,68.0,8.5e-05
person,122.0,0.0001525
eighteen,13.0,1.625e-05
legend,23.0,2.875e-05
lent,9.0,1.125e-05
sang,24.0,3e-05
points,186.0,0.0002325
out,766.0,0.0009575
admires,2.0,2.5e-06
artist,118.0,0.0001475
teaming,4.0,5e-06
very,337.0,0.00042125
unforgettable,3.0,3.75e-06
experience,80.0,0.0001
official,184.0,0.00023
video,231.0,0.00028875
uploaded,7.0,8.75e-06
received,345.0,0.00043125
million,295.0,0.00036875
views,45.0,5.625e-05
within,353.0,0.00044125
couple,62.0,7.75e-05
weeks,74.0,9.25e-05
channel,88.0,0.00011
directed,139.0,0.00017375
videos,65.0,8.125e-05
previous,145.0,0.00018125
hits,38.0,4.75e-05
guest,71.0,8.875e-05
appearance,120.0,0.00015
star,136.0,0.00017
sandra,6.0,7.5e-06
version,177.0,0.00022125
rhythm,18.0,2.25e-05
changes,78.0,9.75e-05
singing,44.0,5.5e-05
event,236.0,0.000295
character,142.0,0.0001775
once,192.0,0.00024
she,1681.0,0.00210125
sees,30.0,3.75e-05
stage,172.0,0.000215
drops,8.0,1e-05
man,210.0,0.0002625
focuses,27.0,3.375e-05
her,1785.0,0.00223125
attention,73.0,9.125e-05
indicating,23.0,2.875e-05
relationship,126.0,0.0001575
previously,130.0,0.0001625
serenades,1.0,1.25e-06
while,858.0,0.0010725
gets,40.0,5e-05
seat,91.0,0.00011375
crying,5.0,6.25e-06
room,84.0,0.000105
performed,164.0,0.000205
soap,20.0,2.5e-05
operas,11.0,1.375e-05
airing,15.0,1.875e-05
premio,1.0,1.25e-06
debuted,32.0,4e-05
chart,103.0,0.00012875
leaped,1.0,1.25e-06
cracked,3.0,3.75e-06
top,328.0,0.00041
charting,11.0,1.375e-05
loco,8.0,1e-05
seventh,47.0,5.875e-05
became,705.0,0.00088125
any,417.0,0.00052125
charts,54.0,6.75e-05
following,620.0,0.000775
airplay,8.0,1e-05
release,147.0,0.00018375
gainer,1.0,1.25e-06
tropical,35.0,4.375e-05
highest,96.0,0.00012
billboard,49.0,6.125e-05
hot,70.0,8.75e-05
sales,64.0,8e-05
figures,79.0,9.875e-05
based,359.0,0.00044875
certification,19.0,2.375e-05
alone,64.0,8e-05
belinda,2.0,2.5e-06
lynette,13.0,1.625e-05
green,143.0,0.00017875
born,712.0,0.00089
australian,109.0,0.00013625
beauty,26.0,3.25e-05
queen,53.0,6.625e-05
won,528.0,0.00066
miss,39.0,4.875e-05
world,786.0,0.0009825
contest,45.0,5.625e-05
age,392.0,0.00049
growing,59.0,7.375e-05
sydney,42.0,5.25e-05
woman,125.0,0.00015625
country,297.0,0.00037125
win,205.0,0.00025625
title,247.0,0.00030875
penelope,2.0,2.5e-06
plummer,1.0,1.25e-06
crowned,11.0,1.375e-05
pageant,5.0,6.25e-06
held,439.0,0.00054875
london,205.0,0.00025625
royal,182.0,0.0002275
albert,30.0,3.75e-05
hall,182.0,0.0002275
